質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
イントラマートの飲食費申請で「ショートカット情報が存在していません」というエラーが表示される場合の対処法は？,「ショートカット情報が存在していません」と表示される場合、以下の原因が考えられます。1. ログインID・パスワードが間違っている（出向者の場合はアカウントが2つあるため、正しいアカウントでログインしてください）。2. 既に承認や差戻しの処理を実施した案件のURLを開いている。3. メール内のURLの有効期限が30日のため、30日以前に届いたURLを開いている。詳細はよくあるお問い合わせのリンクをご参照ください。,質問,イントラマート;飲食費申請;ショートカット情報が存在していません;エラー;承認依頼メール;ログインID;パスワード;URL有効期限,よくあるお問合せ,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBについて,"イントラマートの飲食費申請についてご質問のになります。
近畿第二事業部所属の上村が飲食費申請を申請したところ、
近畿第二事業部長の中野の画面にて以下の表示が出ました。

「ショートカット情報が存在していません。」

中野は3月16日付で新たに事業部長に着任された方になります。
こちらの原因は何が考えられますか？
ユーザー登録関係であると思うのですが、中NFポータルにある申請は処理可能だそうです。
中NFポータルとユーザー登録情報が違う場合はどちらを変更申請すればよろしいでしょうか？","【対応内容(一次)】
「ショートカット情報が存在していません」の表示が出るとのことですが、
以下原因の可能性がありますので、よくあるお問合せのリンクをお送りいたします。


承認依頼メール内のURLを開こうとすると、「ショートカット情報が存在していません」と表示される。

【1】ログインID・パスワードが間違っている。
　　※出向者の場合はアカウントが２つありますので、正しいアカウントでログインをお願いいたします。
【2】既に承認や差戻しの処理を実施した案件のURLを開こうとしている。
【3】メール内のURLの有効期限が30日のため、30日以前に届いたURLを開こうとしている。

【対応内容(二次)】
nan"
イントラマートの飲食・ゴルフ申請が未承認欄に表示されない場合の対処方法を教えてください,複数のアカウントが存在する場合、申請が未承認欄に表示されないことがあります。該当申請については、正しいアカウント（「0212」から始まるアカウント）でログインして操作してください。不要なアカウントは、全て承認後に廃止するか、再申請してください。,質問,イントラマート;飲食申請;ゴルフ申請;未承認;アカウント;ワークフロー;申請;ログインID,,申請者,0.95,【intra-mart】イントラマートの飲食承認について,"*********************************
【問い合わせ内容】
・フロー名：a_19_飲食・ゴルフ申請_ゴルフ費申請
・ワークフローでのお困り事（問合せ内容）：
ログインIDは　頭0950の方で入っています

他の稟議申請は　未承認欄にありますが
飲食とゴルフの稟議だけが　未承認にきません

他の稟議は　メールのURLで開きますが
飲食とゴルフだけ　開けません

至急、ご確認お願いします
*********************************","【対応内容(一次)】
以下コールの続き
コールID：C000058537

池田様は、「0950」から始まるアカウントと「0212」から始まるアカウントが存在するため、
「0212」から始まるアカウントでログインいただくようにお伝えし、解決しました。

「0212」のアカウントは不要とのことでしたので、現在未処理できている案件については全て承認後に廃止していただくか、再申請していただくようにお伝えしました。

【対応内容(二次)】
nan"
イントラマートの飲食費申請で、管理本部長へメールが送信されないようにする方法を教えてください。,管理本部長へメールが送信されるのは、マスタに閲覧者として登録されていることが原因です。マスタの設定変更については、マスタを管理しているNH経理財務部へお問い合わせください。,質問,イントラマート;飲食費申請;ワークフロー;管理本部長;メール通知;マスタ設定;閲覧者;NH経理財務部,,申請者,0.95,【intra-mart】イントラマートの飲食承認について,"*********************************
【問い合わせ内容】
・フロー名：飲食費申請
・ワークフローでのお困り事（問合せ内容）：
第一事業部の飲食・ゴルフ申請ですが
申請者に　0950 の方の池田事業部長を選択してもらっても
池田事業部長の 0950でログイン画面には入ってこないようです
とりあえず、0212でログインして　承認してもらっています

また、第一事業部の　飲食・ゴルフ申請をすると
管理本部長の松岡伸晃さんへメールが送信されます
開くと「確認」を押す画面になります

他の事業部は　管理本部長へはメールが来ませんので
設定間違いと思われます。

松岡さんへメールが送信されないようにしたいのですが
どうすれば良いでしょうか？
*********************************","【対応内容(一次)】
有効なアカウントが全て表示されてしまうため、0212のアカウントが不要でしたら廃止していただくようにお伝えしました。

松岡さんへメールが飛ぶ件については、マスタに閲覧者として登録されていることが原因になりますので、マスタを管理されているNH経理財務部へお問合せいただくようにお伝えしました。

【対応内容(二次)】
nan"
イントラマートの事前飲食申請で、通常申請しても承認者に承認依頼が届かない場合はどうすればよいですか？,一時的な障害により承認者が設定されない場合があります。障害が解消された後、再申請することで正常に承認依頼が届きます。,質問,イントラマート;事前飲食申請;承認依頼;通常申請;承認者;障害;再申請;ステータス,,申請者,0.95,飲食事前申請　承認依頼されない件,"イントラマートの事前飲食申請に関しまして
通常申請で申請しておりますが、承認者に承認依頼がいきません。
普段であれば、ステータス名が「事前承認待ち」となりますが、「代理元承認待ち」になっております。
(代理申請にはしておりません)
何か原因があるか調べて頂きたいです。
ご確認の程、よろしくお願いいたします。","【対応内容(一次)】
飲食ゴルフ申請の担当者へエスカレーション。

【対応内容(二次)】
旭川営業部の冨樫様が申請した案件のお問合せでした。
確認したところ、2月6日17:56 ～ 2月7日13:30に障害が発生しており承認者が設定されないようになっていました。
現在は解消済みですので、再申請していただくようにお伝えしました。
問題なく申請できたとご連絡がありました。"
イントラマートで申請した飲食費申請を中止したい場合、どのように取り下げればよいですか？,Nhitsの各種リンクからintra-martの窓口にアクセスし、稼働中のシステムに関するお問い合わせは経理財務部へ、申請内容に関するお問い合わせはNHSS標準化推進G（06-7525-3142）にご連絡ください。,質問,イントラマート;飲食費申請;申請取り下げ;Nhits;経理財務部;NHSS標準化推進G;intra-mart;システム問い合わせ,,申請者,0.65,イントラマート　飲食費申請を上げていたが中止になった。取り下げたい。,"イントラマート　飲食費申請を上げていたが中止になった。取り下げたい。
取り下げボタンが見当たらない。","【対応内容(一次)】
Nhits＞各種リンク＞intra-martの窓口
稼働中のシステムに関するお問い合わせ　→　問い合わせ先　経理財務部、申請内容に関するお問い合わせと思われる。
NHSS標準化推進G　06-7525-3142　にかけてみる。

【対応内容(二次)】
nan"
イントラマートで飲食費結果申請をPDFファイルに変換した際に途中で切れてしまう場合はどうすればよいですか？,PDF保存時に選択されている範囲がすべて表示されていない可能性があります。印刷プレビュー画面の「拡大/縮小」欄で倍率を「60%~75%」に調整し、すべて表示されるかご確認ください。,トラブル,イントラマート;飲食費結果申請;PDF変換;途中で切れる;印刷プレビュー;拡大縮小;倍率調整;楽々精算,,申請者,0.95,【メール対応】イントラマート飲食費結果申請をPDFファイルに変換した際、途中で切れる,"※受信時刻：2025/09/03 (水) 11:13
ーーーーーーーーーーーーーーーーーーーーーーー
イントラマートで飲食費の結果申請を入力したのですが、上長承認済み後
楽々精算で申請するために、PDF保存しようとしたら、途中で切れてしまいます。

原因何かご存知でしょうか？","【対応内容(一次)】
※サポートデスク関口さんにフォローいただく

11:36　オオウラ様へメール送信
ーーーーーーーーーーーーーーーーーーーーーーーーー
お問合せいただいた件につきまして、
PDF保存に選択されている範囲にすべて入っていない可能性がございます。

以下の方法で、選択した範囲がすべて表示されるかご確認いただけますでしょうか。

印刷プレビュー画面「拡大/縮小」欄で、
倍率の数値を「60%~75%」で調整してすべて表示されるかお試しください。

以上、よろしくお願いいたします。
ーーーーーーーーーーーーーーーーーーーーーーーーー

9/8　連絡がないためクローズいたします。

【対応内容(二次)】
nan"
飲食費申請で承認後に誤入力を訂正する方法を教えてください,飲食費申請が最終承認まで進み「結果申請完了」となっている場合、申請内容の変更はできません。訂正申請が必要となります。詳細は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」の「データ訂正について」シートをご確認ください。入力内容に関するお問い合わせはNH_経理財務部までお願いします。,質問,飲食費申請;承認後;訂正;誤入力;訂正申請;intra-mart;操作マニュアル;経理財務部,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx,申請者,0.95,飲食費申請について承認されたものを訂正したい,"飲食費申請にて誤入力をした修正したいがどのようにしたらよいか
（上長にて承認したのちに金額が誤っていることに気づいた。
ステータスは結果申請完了となっている）","【対応内容(一次)】
2025/3/25　10:30　筒井
担当者へエスカレーション
ーーーーーーーーーーーーーーーーーーーーー

【対応内容(二次)】
進捗状況が「結果申請完了」とのことですので、最終承認までされている申請書かと思われます。
最終承認までされてしまい変更不可ということでしたら訂正申請が必要となります。

詳細につきましては、以下マニュアルの「データ訂正について」シートをご確認ください。
 202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

また、飲食費申請の入力内容についてのお問合せ先はNH_経理財務部となります。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)

どうぞよろしくお願いいたします。"
飲食費申請を引き戻す方法を教えてください,飲食費申請が「上位役職者事前承認」ノードにある場合、申請者自身では引き戻しができません。「上位役職者事前承認」ノードの処理者に差戻しを依頼し、差戻し後に否認処理を行うことで申請を終了できます。,質問,飲食費申請;引き戻し;上位役職者事前承認;差戻し;否認処理;申請手順;申請取消;ワークフロー,,申請者,0.95,飲食費申請を引き戻したい,飲食費申請について別の方が申請したものと同じ内容の申請を行ったため、引き戻しを行いたい,"【対応内容(一次)】
2025/8/26　16:20　筒井
担当者へエスカレーション

【対応内容(二次)】
現在「上位役職者事前承認」ノードのため、申請者である石川さんが引戻しできない状態。
「上位役職者事前承認」ノードの処理者に差戻しいただくよう連絡を御願いしています。

差戻し後、否認処理にて案件終了できる旨お伝えしています。

→クローズ"
飲食費申請の申請データ一覧を日々取得する方法を教えてください,intra-martでは、ユーザIDは個人ごとに発行されており、共有IDや業務用アカウントの利用はできません。管理者ロールで申請データの参照やCSV出力は可能ですが、RPA等で自動出力する場合も個人IDでのログインが必要です。夜間バッチによる自動CSV出力も可能ですが、システム改修が必要となります。共有IDや複数の個人ID発行は禁止されていますので、詳細な方法やご相談はintra-martの窓口までお問い合わせください。,質問,飲食費申請;申請データ;intra-mart;CSV出力;管理者ロール;RPA;共有ID;自動取得,intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com),申請者,0.95,飲食費申請にて申請データ一覧を日々取得したい,飲食費申請の申請データを日々取得したいがどのようにしたらよいか,"【対応内容(一次)】
2025/03/17　17:15　筒井

飲食費の閲覧について業務用アカウントにてintra-martを利用したいと考えているとのご連絡をいただく。
intra-martについてはユーザに紐づいているため、業務用アカウントでの利用は不可である旨を返答。
申請データ一覧を日々取得したいとの事。

担当者へエスカレーション

ーーーーーーーーーーーーーーーーーーーーー

【対応内容(二次)】
2025/3/18  10:15  蛭子本

管理者ロールで飲食費申請の参照ができることや、CSV出力できることは知っているとのこと。
RPAでCSVを自動出力したいため、業務用アカウントを作成したいとのことでした。
夜間バッチを作成して、決まった場所へCSV出力をすることも可能とはお伝えしましたが、お金をかけてまで改修はしたくないとのことでした。

intra-martはJSOX対象であるため、ユーザコードは1社1人１IDが原則であり、基本的に共有IDは禁止とお伝えして、
個人のユーザIDでintra-martにログインして動かすことはできないかご連絡しました。


担当者へエスカレーション

ーーーーーーーーーーーーーーーーーーーーー
2025/3/18　18:10　吉岡
メールにて杉本様へ回答済み。
（回答内容）
蛭子本から回答させてもらっている内容の繰り返しになってしまい、大変申し訳ないのですが、
統制上（JSOXとしてもルール化されています）、如何なる場合でも共有IDの利用は禁止と
されています。あくまでも個人を特定するIDであるべきとなります。

また、個人IDを複数発行することも禁止となります。

つまり、業務IDによる対処は不可となりますので、それ以外での方法検討等のご相談においては、
該当のアプリ担当者もしくは以下のお問合せ先までお願いします。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)"
飲食費申請で自社と他社で費用を分担する場合、どのように申請すればよいですか？,運用面のご質問のため、経理財務部にお問い合わせください。,質問,飲食費申請;費用分担;領収書;申請方法;経理財務部;会食;他社;自社,,申請者,0.6,飲食費申請にて、自社と他社で費用を分担する場合の申請について,"これから得意先との会食があるが、お相手の会社のルールで、お相手の会社の飲食費用はお相手の会社が出すため、領収書の金額と、実際に払う金額に差が出てしまう。
どのように申請すれば良いか。","【対応内容(一次)】
運用面のご質問のため、NH株式会社 経理財務部の山中さんにお問合せいただくようにお伝え。

【対応内容(二次)】
nan"
