knowledge_id,cluster_id,question,answer,category,source_logs,similar_logs_count,conflict_status,risk_level,review_status,confidence
k-001,c-001,intra-martの飲食費申請時に「出席者情報一覧にデータがありません」というエラーが表示される場合の対処法は？,intra-martの飲食費申請では、出席者情報を手入力できるのは10名までです。10名を超える場合は、PDFまたはExcelファイルで出席者情報を添付してください。それでも「出席者情報一覧にデータがありません」というエラーが発生する場合、担当部署へご連絡のうえ、従来どおりNotes版で申請してください。詳細は担当部門にお問い合わせください。,トラブル,"[""【intra-mart】飲食費申請時に「出席者情報一覧にデータがありません」エラーが出現する"", ""【intra-mart】飲食費申請について確認したい"", ""【intra-mart】飲食費・ゴルフ関係費申請にて「1名以上入力してください」のエラーとなる"", ""〈至急〉【intra-mart】飲食費申請でエラーが表示される""]",4,detected,low,draft,0.65
k-002,c-002,飲食費・ゴルフ関係費申請DBでユーザーの所属を変更する方法を教えてください,飲食費・ゴルフ関係費申請DBのユーザー所属変更については、日本ハム㈱経理財務部へお問い合わせください。,質問,"[""【メール対応】お問い合わせ）ノーツDB　『飲食費・ゴルフ関係費申請Db」""]",1,unknown,low,draft,0.6
k-003,c-003,飲食費・ゴルフ関係費申請がノーツからイントラマートに移行した場合、権限委譲の方法を教えてください。,飲食費・ゴルフ関係費申請も通常のワークフロー代理設定で問題ありません。詳細な操作方法は操作マニュアルをご参照ください。,質問,"[""飲食費・ゴルフ関係費 申請の権限委譲の方法について""]",1,unknown,low,draft,0.95
k-004,c-004,スマートフォンで飲食費・ゴルフ関係費申請DBを承認する方法を教えてください。,対象のスマートフォンから http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf にアクセスし、NotesのID・パスワードでログインするとスマートフォンでの閲覧が可能です。ログイン後の申請方法や操作方法については、経理担当または日本ハムの経理財務部へお問い合わせください。,質問,"[""【Notes】スマホでの飲食費・ゴルフ関係費申請DBについて""]",1,unknown,high,draft,0.95
k-005,c-005,スマートフォンのNotesで飲食費・ゴルフ関係費 申請DBを開くと「対象DB設定」という画面が表示されDBを閲覧できない場合はどうすればよいですか？,インストールしたアプリのアイコン名が「Notes07.in.ni…」の場合、アイコンが異なっている可能性があります。飲食費・ゴルフ関係費 申請DBの管理者にご相談ください。詳細は日本ハム㈱経理財務部(06-7525-3041)までお問い合わせください。,トラブル,"[""【Notes】スマートフォンで飲食費・ゴルフ関係費 申請DBを閲覧できない""]",1,unknown,critical,draft,0.95
k-006,c-006,intra-martで飲食申請をする方法を教えてください,intra-martのトップ画面上部の「Workflow」→「申請一覧」をクリックし、「フロー」タブを押した後、左メニューから「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択してください。,トラブル,"[""【intra-mart】飲食申請方法について"", ""【intra-mart】飲食申請について"", ""【intra-mart】飲食申請が見つからない""]",3,detected,low,draft,0.95
k-007,c-007,Notesの飲食費申請で、Outlookに『承認依頼が配信不要』と通知が届いた場合の対処法は？,ノーツ側から送信されたメールが宛先に届かなかった場合、障害が発生している可能性があります。現在調査中のため、詳細は担当部門にお問い合わせください。メンテナンス完了の案内が全社に配信されている場合は、該当メールをご確認ください。,障害,"[""【障害】【Notes】飲食費の承認依頼が配信不要と届いた""]",1,unknown,low,draft,0.65
k-008,c-008,飲食費・ゴルフ関係費申請DBで一度行った申請を再利用する方法を教えてください,飲食費・ゴルフ関係費申請DBでは、「コピー新規」ボタンを使用することで申請を再利用できます。,質問,"[""飲食費・ゴルフ関係費申請DBにて、申請を再利用する方法を教えてほしい""]",1,unknown,low,draft,0.95
k-009,c-009,飲食費・ゴルフ関係費申請DBで申請する方法を教えてください,イントラマートのトップ画面上部の「Workflow」→「申請一覧」をクリックし、「フロー」タブを押した後、左メニューから「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択してください。詳細な申請方法は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」をご確認ください。お問い合わせはNH_経理財務部までお願いします。,質問,"[""飲食費・ゴルフ関係費申請DBの使用方法を教えて欲しい"", ""飲食費・ゴルフ関係費申請DBにて、申請方法を知りたい"", ""飲食費・ゴルフ関係費申請DBにて、12月に行ったものの集計を行いたい""]",3,detected,low,draft,0.95
k-010,c-010,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合の対処法は？,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合、別タブや別ウィンドウでintra-martを開いているとエラーになることがあります。入力しているタブ以外でintra-martを開かないようにしてください。,質問,"[""飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される""]",1,unknown,low,draft,0.95
