knowledge_id,cluster_id,question,answer,category,source_logs,similar_logs_count,existing_faq_diff_reason,risk_level,review_status,confidence
k-001,c-001,飲食費・ゴルフ関係費申請DBでユーザーの所属を変更する方法を教えてください,飲食費・ゴルフ関係費申請DBのユーザー所属変更については、日本ハム㈱経理財務部へお問い合わせください。,質問,"[""【メール対応】お問い合わせ）ノーツDB　『飲食費・ゴルフ関係費申請Db」""]",1,FAQ未指定,low,draft,0.6
k-002,c-002,飲食費・ゴルフ関係費申請がノーツからイントラマートに移行した場合、権限委譲の方法を教えてください。,飲食費・ゴルフ関係費申請も通常のワークフロー代理設定で問題ありません。詳細な操作手順は操作マニュアルをご参照ください。,質問,"[""飲食費・ゴルフ関係費 申請の権限委譲の方法について""]",1,FAQ未指定,low,draft,0.95
k-003,c-003,intra-martの飲食ゴルフ申請で、結果申請から取止め（差し戻し）ができない場合はどうすればよいですか？,intra-martの飲食ゴルフ申請では、現在、結果申請から取止め（差し戻し）はできません。今後、結果申請から取止めができるように改修予定です。現時点では、案件の削除などについては担当部門へご相談ください。,トラブル,"[""【intra-mart】飲食ゴルフ申請の差し戻しが出来ない"", ""【intra-mart】差戻された飲食・ゴルフ申請が再申請できない"", ""【intra-mart】ゴルフ関係費申請を取止めて結果申請できない""]",3,FAQ未指定,low,draft,0.9
k-004,c-004,スマートフォンで飲食費・ゴルフ関係費申請DBを承認する方法を教えてください。,対象のスマートフォンから http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf にアクセスし、NotesのID・パスワードでログインするとスマートフォンでの閲覧が可能です。ログイン後の申請方法や操作方法については、経理担当または日本ハムの経理財務部へお問い合わせください。,質問,"[""【Notes】スマホでの飲食費・ゴルフ関係費申請DBについて""]",1,FAQ未指定,high,draft,0.9
k-005,c-005,スマートフォンのNotesで飲食費・ゴルフ関係費 申請DBを開くと「対象DB設定」という画面が表示されDBを閲覧できない場合はどうすればよいですか？,インストールしたアプリのアイコン名が「Notes07.in.ni…」の場合、アイコンが異なっている可能性があります。飲食費・ゴルフ関係費 申請DBの管理者にご相談ください。詳細は日本ハム㈱経理財務部(06-7525-3041)までお問い合わせください。,トラブル,"[""【Notes】スマートフォンで飲食費・ゴルフ関係費 申請DBを閲覧できない""]",1,FAQ未指定,critical,draft,0.65
k-006,c-006,飲食費・ゴルフ関係費申請DBで一度行った申請を再利用する方法を教えてください,飲食費・ゴルフ関係費申請DBでは、「コピー新規」ボタンを使用することで申請を再利用できます。,質問,"[""飲食費・ゴルフ関係費申請DBにて、申請を再利用する方法を教えてほしい""]",1,FAQ未指定,low,draft,0.95
k-007,c-007,飲食費・ゴルフ関係費申請DBで申請する方法を教えてください,イントラマートのトップ画面上部の「Workflow」→「申請一覧」をクリックし、「フロー」タブを押した後、左メニューから「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択してください。詳細な申請方法は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」をご確認ください。お問い合わせ先はNH_経理財務部です。,質問,"[""飲食費・ゴルフ関係費申請DBの使用方法を教えて欲しい"", ""飲食費・ゴルフ関係費申請DBにて、申請方法を知りたい"", ""飲食費・ゴルフ関係費申請DBにて、12月に行ったものの集計を行いたい""]",3,FAQ未指定,low,draft,0.95
k-008,c-008,飲食費・ゴルフ関係費申請DBでテスト環境で作成した申請が削除できない場合の対応方法を教えてください。,飲食費・ゴルフ関係費申請DBで削除できない申請が本番環境で作成された事前申請の場合は、取止めの手順で案件を終了させることができます。詳細な手順は担当部門にお問い合わせください。,質問,"[""飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請が消せない""]",1,FAQ未指定,low,draft,0.65
k-009,c-009,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合の対処法は？,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合、別タブや別ウィンドウでintra-martを開いているとエラーになることがあります。入力しているタブ以外でintra-martを開かないようにしてください。,質問,"[""飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される""]",1,FAQ未指定,low,draft,0.95
k-010,c-010,intra-martの飲食費・ゴルフ関係費申請DBで、廃止されたユーザCDの申請データをPDF出力する方法を教えてください,代理元承認者または承認者の方が案件一覧から処理済（完了案件）を選択し、詳細画面の印刷機能でPDF出力が可能です。,質問,"[""【intra-mart】飲食費・ゴルフ関係費申請DBについて""]",1,FAQ未指定,low,draft,0.95
k-011,c-011,イントラマートの飲食費申請で「ショートカット情報が存在していません」というエラーが表示される場合の対処法は？,"「ショートカット情報が存在していません」と表示される場合、以下の原因が考えられます。
1. ログインID・パスワードが間違っている（出向者の場合はアカウントが2つあるため、正しいアカウントでログインしてください）。
2. 既に承認や差戻しの処理を実施した案件のURLを開いている。
3. メール内のURLの有効期限が30日であるため、30日以前に届いたURLを開いている。
詳細はよくあるお問い合わせのリンクをご参照ください。",質問,"[""【intra-mart】飲食費・ゴルフ関係費申請DBについて""]",1,FAQ未指定,high,draft,0.95
k-012,c-012,intra-martの飲食費・ゴルフ関係費申請DBで、事業部長の異動により承認権限がなくなった場合、申請の差し戻しは誰が行えばよいですか？,代理設定をして代理承認する方法があります。異動や休職などで承認者が変更された場合、代理で申請・承認を行うことが可能です。代理設定の方法は、ワークフロー代理設定の操作マニュアルをご確認ください。なお、2025/3/28時点では飲食ゴルフ申請は結果申請まで進むと申請者・承認者が引戻しできない状態です。8月頃に改修予定ですが、それまでは結果申請は差戻しでしか処理を戻すことができません。,質問,"[""【intra-mart】飲食費・ゴルフ関係費申請DBについて"", ""＜至急＞【intra-mart】飲食費・ゴルフ関係申請の承認について""]",2,FAQ未指定,low,draft,0.95
k-013,c-013,飲食費・ゴルフ関係費申請DBで事前申請の金額を修正する方法と、承認後に申請を取り戻せるか教えてください。,飲食費・ゴルフ関係費申請DBで申請書を修正したい場合は、引戻しや差戻しを行い、申請者まで処理を戻すことで修正が可能です。結果申請から事前申請に引戻すことはできませんので、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認後は変更できないため、訂正申請が必要です。詳細は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」の「データ訂正について」シートをご確認ください。,質問,"[""飲食費・ゴルフ関係費申請DBにて、事前申請は承認されると取り戻せないか"", ""飲食費・ゴルフ関係費申請にて、結果の申請の入力について""]",2,FAQ未指定,low,draft,0.95
k-014,c-014,飲食・ゴルフ費用申請で承認者を誤って選択し差戻し後に再申請したが、初回申請時の承認者が残っているのはなぜですか？,初回申請時の承認者情報が保持されている可能性があります。差戻し後は一度取止めを行い、新規で正しい承認者を選択して申請してください。,質問,"[""飲食・ゴルフ利用申請について""]",1,FAQ未指定,low,draft,0.95
k-015,c-015,intra-martでゴルフ関係の代理申請を誤って送信した場合、内容を修正する方法を教えてください,代理申請後、申請が『Workflow＞案件一覧＞未処理』にない場合は、『Workflow＞案件一覧＞処理済（未完了案件）』を確認してください。申請が処理中の場合、次の承認者の『Workflow＞案件一覧＞未処理』から対象申請の処理ボタンをクリックし、承認ボタンを押した後の画面で差戻しができるかご確認ください。詳細は担当部門にお問い合わせください。,質問,"[""【intra-mart】ゴルフ関係の代理申請の内容を修正したい""]",1,FAQ未指定,low,draft,0.65
k-016,c-016,intra-martの飲食費・ゴルフ関係費申請で申請内容を修正する方法を教えてください,intra-martの飲食費・ゴルフ関係費申請で申請内容を修正するには、未処理一覧から対象の申請の「処理」ボタンを押してください。「１人当たり金額」は自動で登録されるため直接修正できませんが、「支出総額」「個人負担総額」「自社負担総額」を修正すると自動で反映されます。操作マニュアルはintra-martの窓口に掲載されています。,質問,"[""【intra-mart】飲食費ゴルフ関係費の申請承認手続きに入力できない"", ""飲食ゴルフの申請方法が分からない"", ""【Notes】飲食費・ゴルフ関係費申請DBの過去申請の閲覧方法について"", ""【intra-mart】飲食費・ゴルフ関係費申請の修正方法がわからない"", ""【intra-mart】飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい"", ""【intra-mart】飲食費・ゴルフ関係費申請の進捗確認をしたい""]",6,FAQ未指定,low,draft,0.95
k-017,c-017,intra-martのNH経理財務部の飲食費・ゴルフ関係費申請で出席予定人数を入力できない場合はどうすればよいですか？,申請作成画面でフロー名が表示されていない場合、NH経理財務部の飲食費・ゴルフ関係費申請（フロー名：9910_NH直轄・コーポレート管轄＞NH経理財務＞飲食費・ゴルフ関係費申請）で発生している可能性があります。詳細は担当部門にお問い合わせください。,トラブル,"[""【intra-mart】飲食費・ゴルフ関係費申請にて「1名以上入力してください」のエラーとなる"", ""【intra-mart】飲食費・ゴルフ関係費申請で人数を入力できない""]",2,FAQ未指定,low,draft,0.6
